INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('1','B1','Borivali','6-8 AM',125,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('2','B1','Borivali','8-10 AM',150,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('3','B1','Borivali','10-12 AM',135,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('4','B1','Borivali','12-2 PM',225,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('5','B1','Borivali','2-4 PM',255,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('6','B1','Borivali','4-6 PM',170,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('7','B1','Borivali','6-8 PM',195,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('8','B1','Borivali','8-10 PM',180,'Today');

INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('9','B1','Borivali','6-8 AM',135,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('10','B1','Borivali','8-10 AM',145,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('11','B1','Borivali','10-12 AM',130,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('12','B1','Borivali','12-2 PM',235,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('13','B1','Borivali','2-4 PM',225,'Yesterday');
